Dataset,Key,Min Value,Max Value
hand.pt,obs,-15.926342964172363,16.070972442626953
hand.pt,next_obs,-15.926342964172363,16.070972442626953
hand.pt,done,0.0,1.0
hand.pt,actions,-1.0,0.9999984502792358
hand.pt,ep_found_goal,0.0,1.0
maze.pt,done,0.0,1.0
maze.pt,obs,-5.226255416870117,6.150454998016357
maze.pt,next_obs,-5.226255416870117,6.150454998016357
maze.pt,actions,-1.0,1.0
pick.pt,obs,-0.11002062885210201,1.3918687737839208
pick.pt,next_obs,-0.09598632360588599,1.3918687737839208
pick.pt,actions,-1.0,0.8994917511353079
pick.pt,done,0.0,1.0
walker.pt,obs,-10.0,10.0
walker.pt,next_obs,-10.0,10.0
walker.pt,done,0.0,1.0
walker.pt,actions,-4.054696559906006,4.632698059082031
ant.pt,obs,-18.28291130065918,18.168930053710938
ant.pt,next_obs,-18.28291130065918,18.168930053710938
ant.pt,done,0.0,1.0
ant.pt,actions,-2.49988055229187,3.6850671768188477
ant.pt,ep_found_goal,0.0,1.0
halfcheetah.pt,obs,-27.462566375732422,26.24529457092285
halfcheetah.pt,next_obs,-27.462566375732422,26.24529457092285
halfcheetah.pt,done,0.0,1.0
halfcheetah.pt,actions,-3.0144639015197754,4.577693939208984
